Project,Package,Class,Smell,Description,File
java,com.group4.backend.controller,AuthController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/controller/AuthController.java
java,com.group4.backend.service,InfluencerProfileService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.group4.backend.dto.InfluencerProfileResponse,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/InfluencerProfileService.java
java,com.group4.backend.service,CampaignService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.group4.backend.model.Campaign; com.group4.backend.dto.CampaignResponse,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/CampaignService.java
java,com.group4.backend.service,CampaignService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/CampaignService.java
java,com.group4.backend.service,AuthService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.group4.backend.model.PendingSignup; com.group4.backend.model.User; com.group4.backend.model.PasswordResetToken,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/AuthService.java
java,com.group4.backend.service,AuthService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/AuthService.java
java,com.group4.backend.service,PaymentService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.group4.backend.model.Payment; com.group4.backend.dto.PaymentResponse,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,BrandProfileService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.group4.backend.dto.BrandProfileResponse,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/BrandProfileService.java
