Project,Package,Class,Method,Smell,Description,Method start line no,File
java,com.group4.backend.service,AuthService,fetchEmailFromGoogle,Magic Number,The method contains a magic number: 10,167,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/AuthService.java
java,com.group4.backend.service,PaymentService,createPayment,Long Statement,The length of the statement "Campaign campaign=campaignRepository.findById(request.getCampaignId()).orElseThrow(() -> new IllegalArgumentException("Campaign not found"));" is 141.,29,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,createPayment,Magic Number,The method contains a magic number: 8,29,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getPaymentsForInfluencer,Long Statement,The length of the statement "return paymentRepository.findByInfluencerIdOrderByDueDateDesc(influencerId).stream().map(this::toResponse).collect(Collectors.toList());" is 136.,53,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getPaymentsForCampaign,Long Statement,The length of the statement "Campaign campaign=campaignRepository.findById(campaignId).orElseThrow(() -> new IllegalArgumentException("Campaign not found"));" is 128.,60,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getPaymentsForCampaign,Long Statement,The length of the statement "return paymentRepository.findByCampaignIdOrderByDueDateAsc(campaignId).stream().map(this::toResponse).collect(Collectors.toList());" is 131.,60,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,updatePaymentStatus,Long Statement,The length of the statement "Payment payment=paymentRepository.findById(paymentId).orElseThrow(() -> new IllegalArgumentException("Payment not found"));" is 123.,74,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getDelayedPayments,Long Statement,The length of the statement "paymentRepository.findByStatusAndDueDateBefore(PaymentStatus.PENDING`LocalDate.now()).stream().filter(p -> p.getBrandId().equals(brandId)).forEach(p -> {" is 153.,92,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getDelayedPayments,Long Statement,The length of the statement "return paymentRepository.findByBrandIdAndStatus(brandId`PaymentStatus.DELAYED).stream().map(this::toResponse).collect(Collectors.toList());" is 139.,92,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,PaymentService,getInvoice,Long Statement,The length of the statement "Payment payment=paymentRepository.findById(paymentId).orElseThrow(() -> new IllegalArgumentException("Payment not found"));" is 123.,110,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/PaymentService.java
java,com.group4.backend.service,BrandProfileService,normalizeWebsite,Complex Conditional,The conditional expression lower.startsWith("http://") || lower.startsWith("https://") || lower.startsWith("ftp://") is complex.,63,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/service/BrandProfileService.java
